**********  emmision probabilities  **********
P(Et | Xt)
P( k | b ) = 0.000506
P( l | b ) = 0.145243
P( m | b ) = 0.001012
P( n | b ) = 0.002024
P( o | b ) = 0.061235
P( p | b ) = 0.000506
P( q | b ) = 0.000506
P( r | b ) = 0.035931
P( s | b ) = 0.008097
P( t | b ) = 0.008603
P( u | b ) = 0.126518
P( v | b ) = 0.004049
P( w | b ) = 0.000506
P( x | b ) = 0.000506
P( y | b ) = 0.095142
P( z | b ) = 0.000506

P( _ | c ) = 0.034141
P( a | c ) = 0.159692
P( b | c ) = 0.00022
P( c | c ) = 0.015419
P( d | c ) = 0.00022
P( e | c ) = 0.1337
P( f | c ) = 0.00022
P( g | c ) = 0.00022
P( h | c ) = 0.162775
P( i | c ) = 0.135903
P( j | c ) = 0.00022
P( k | c ) = 0.011454
P( l | c ) = 0.020705
P( m | c ) = 0.00022
P( n | c ) = 0.00022
P( o | c ) = 0.142952
P( p | c ) = 0.00022
P( q | c ) = 0.002643
P( r | c ) = 0.034141
P( s | c ) = 0.002863
P( t | c ) = 0.094934
P( u | c ) = 0.02533
P( v | c ) = 0.00022
P( w | c ) = 0.00022
P( x | c ) = 0.00022
P( y | c ) = 0.005066
P( z | c ) = 0.00022

P( _ | d ) = 0.472753
P( a | d ) = 0.021891
P( b | d ) = 0.000233
P( c | d ) = 0.000699
P( d | d ) = 0.004425
P( e | d ) = 0.174197
P( f | d ) = 0.000466
P( g | d ) = 0.001863
P( h | d ) = 0.000466
P( i | d ) = 0.098277
P( j | d ) = 0.001863
P( k | d ) = 0.000233
P( l | d ) = 0.003493
P( m | d ) = 0.000699
P( n | d ) = 0.002795
P( o | d ) = 0.075221
P( p | d ) = 0.000466
P( q | d ) = 0.000233
P( r | d ) = 0.018864
P( s | d ) = 0.034001
P( t | d ) = 0.000233
P( u | d ) = 0.056823
P( v | d ) = 0.013973
P( w | d ) = 0.001397
P( x | d ) = 0.000233
P( y | d ) = 0.009315
P( z | d ) = 0.000233

P( _ | e ) = 0.326737
P( a | e ) = 0.035503
P( b | e ) = 0.001004
P( c | e ) = 0.045191
P( d | e ) = 0.045546
P( e | e ) = 0.026879
P( f | e ) = 0.01784
P( g | e ) = 0.005612
P( h | e ) = 0.003899
P( i | e ) = 0.014296
P( j | e ) = 5.9e-05
P( k | e ) = 5.9e-05
P( l | e ) = 0.028178
P( m | e ) = 0.034735
P( n | e ) = 0.083235
P( o | e ) = 0.014768
P( p | e ) = 0.008093
P( q | e ) = 0.003899
P( r | e ) = 0.102493
P( s | e ) = 0.087075
P( t | e ) = 0.032077
P( u | e ) = 0.000591
P( v | e ) = 0.024102
P( w | e ) = 0.004371
P( x | e ) = 0.014119
P( y | e ) = 0.012642
P( z | e ) = 5.9e-05

P( _ | f ) = 0.368656
P( a | f ) = 0.042771
P( b | f ) = 0.000319
P( c | f ) = 0.001915
P( d | f ) = 0.000319
P( e | f ) = 0.034791
P( f | f ) = 0.062241
P( g | f ) = 0.000638
P( h | f ) = 0.000319
P( i | f ) = 0.067986
P( j | f ) = 0.000319
P( k | f ) = 0.000319
P( l | f ) = 0.012448
P( m | f ) = 0.000319
P( n | f ) = 0.000319
P( o | f ) = 0.166613
P( p | f ) = 0.000319
P( q | f ) = 0.000319
P( r | f ) = 0.071497
P( s | f ) = 0.001596
P( t | f ) = 0.049473
P( u | f ) = 0.038302
P( v | f ) = 0.000319
P( w | f ) = 0.000319
P( x | f ) = 0.000319
P( y | f ) = 0.014363
P( z | f ) = 0.000319

P( _ | g ) = 0.270753
P( a | g ) = 0.077967
